"","klasifikasi","score","text"
"269","Netral",0,"  cherry picking  memilih amp  menunjukkan data yg mendukung pendapat kita amp  mengabaikan yg ga sesuai atau nyomot sebagian"
"270","Netral",0," keputusan penunjukan pt  untuk penyaluran bansos khususnya bpnt utk saat ini sangat tepat "
"271","Positif",1,"kamis  desember  jarum jam menunjukkan sekira pukul  wib di desa sukaraksa kecamatan cigudeg kabupat "
"272","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"273","Netral",0," kita cuman mau nunggu bansos   nggak sih cuman mau cepetcepet fontaine "
"274","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"275","Positif",1,"  yang tidak bisa dilakukan desa adalah menetapkan usulan penerima bansos tersebut agar warga "
"276","Netral",0,"bansos pada keluar sampe bingung tiap hari ada aja data baru  ngono iku aku yo gaoleh blasss masio sewu rupiah wkwk"
"277","Negatif",-3,"  persoalan warga yang mampu desa bisa menghapus bansosnya via aplikasi tentu jalan amannya y "
"278","Negatif",-1,"kebijakan bansos sangat membantu masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"279","Negatif",-1,"kebijakan bansos sangat membantu masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"280","Negatif",-1,"kebijakan bansos sangat membantu masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"281","Negatif",-1,"kebijakan bansos sangat membantu masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"282","Negatif",-1,"klo genshin sih sdh ada bansos ya "
"283","Negatif",-2,"   coba warga itu dicek   sudah ber ektp belum   sudah masuk dtks belum   su "
"284","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung p"
"285","Negatif",-2," mamah saya dapat kartu kks belum setahun udah ga dapat bansos lagi denger ada orang dzolim minta ke r "
"286","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung pe"
"287","Negatif",-2," peduli anak anakkapolres cirebon kota kirimkan personel trauma healing paska gempa disertai memberikan bansos berupa ber"
"288","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"289","Netral",0," ngentit duit bansos paket"
"290","Negatif",-2,"para warga merasa terbantu dengan adanya pengawalan karena bansos yang dibawa dapat disalurkan tepat sasaran di lok "
"291","Netral",0,"korupsi dana bansos korupsi dana pembangunan mesjid menyelewengkan dana bantuan korban bencana "
"292","Negatif",-1,"  itu makanan halal jing dari iuran umat islam bukan nipu tukang bakso bukan hasil garon "
"293","Negatif",-1,"dukung program bansos bbm karna terbukti lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"294","Negatif",-1,"ges ayo bantu biar dapet bansos  versi jp nya juga jangan lupa "
"295","Netral",0,"ada bansos lagi dr spotipai "
"296","Positif",1,"kapolres tanimbar bersama personel kunjungi desa lorulun guna menyambangi warga masyarakat  pada kegiatan tersebut "
"297","Netral",0,"dukung program bansos bbm untuk kesejahteraan masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"298","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"299","Negatif",-1,"ive just posted a new blog siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"300","Negatif",-1,"siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"301","Negatif",-1,"siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"302","Positif",2,"mantap semakin banyak bansos semakin sejahtera rakyat indonesia  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"303","Netral",0," ekspresi mereka kek lagi dapet notifikasi bansos "
"304","Negatif",-1,"turut berupaya ringankan beban mayarakat bapas muara teweh kanwil kemenkumham kalteng kembali salurkan bansos bagi "
"305","Negatif",-1,"program bansos bbm terbukti dorong amp  lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"306","Negatif",-1,"siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"307","Negatif",-1,"ive just posted a new blog siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"308","Negatif",-1,"siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"309","Negatif",-2,"sedang antre ambil bansos warga cigudeg meninggal dunia "
"310","Positif",3,"menteri keuangan sri mulyani melaporkan realisasi penyaluran bantuan sosial untuk komunitas adat terpencil kat te "
"311","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"312","Negatif",-1,"hut ke  polairud kapolres meranti salurkan bansos dan dengarkan curhat nelayan kecil "
"313","Netral",0,"apakah di eng tidak dapet bansos"
"314","Netral",0,"di cek bansos sedang proses bank himbarapt postapi bansos tdk cair apa masalahnya "
"315","Netral",0," bismillah bansos"
"316","Netral",0," seragam merah jadi inget ini garong bansos dr si merah "
"317","Negatif",-1,"hendak ambil bansos seorang lansia meninggal dunia di cigudeg bogor    lewat "
"318","Positif",2,"beragam bansos disalurkan pemerintah kepasa keluarga penerima manfaat  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"319","Netral",0,"bansos yang diberikan pemerintah meringankan beban masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"320","Negatif",-1,"turunkan angka kemiskinan warga pacitan digelontor bansos "
"321","Negatif",-2,"radar bogor  sedang antre ambil bansos warga cigudeg meninggal dunia cigudeg amp   rada  "
"322","Negatif",-1,"bktm desa leming dan desa rarang bersama babinsa koramil terara pam giat pembagian bansos "
"323","Negatif",-1,"pemdes karangsembung fasilitasi penyaluran bansos blt bbm bpnt dan pkh "
"324","Negatif",-1," koment klo gk pake alis mata ya gini loe kira yg menjabat menteri  thn inidri santri semua  mul "
"325","Negatif",-1,"hut ke polairud kapolres meranti salurkan bansos dan dengarkan curhat nelayan kecil "
"326","Netral",0,"  yang paling banyak bansos  penerimanya  dicatat di langit juga moral nya"
"327","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"328","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"329","Positif",2," semoga yang menerima bansos terbantu  salam sukses pak kapolres taput"
"330","Netral",0,"  aplikasi cek bansos buatan kalian kah gk salah itu harus pakai selfiektp ada gk jaminan data gk ba "
"331","Netral",0," kan bansos yg  dia itu sampai maret"
"332","Negatif",-3,"  ga perlu di ganti say yg menggantikan itu allah swt  dengan rezeki yg lebih banyak  aku "
"333","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"334","Negatif",-1,"bansos terbukti terbukti membantu masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"335","Netral",0," iya yg k dias  biasa nya juga kalo dpt bansos suka ada misi kok"
"336","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"337","Positif",1,"tahun baru ada bansos lgi gak mmf gw kalo ada bansos bru semangat"
"338","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak pihak term"
"339","Netral",0,"  cherry picking  memilih amp  menunjukkan data yg mendukung pendapat kita amp  mengabaikan yg ga sesuai atau nyomot sebagian"
"340","Netral",0,"berbagi kasih penyaluran beras bansos polri polripresisi "
"341","Netral",0,"cegah pemalakan yonif raider bjw kawal bansos korban gempa ke sasaran "
"342","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"343","Negatif",-1," bansos dapatnya cuan bro kalau kopid dapatnya pengasingan"
"344","Netral",0,"      tukang rebut bansos emang begitu bantuan biasanya di"
"345","Netral",0,"program bansos bbm terimakasih pemerintah atas blt bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"346","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi masyarakat kami mendukung penuh   bantuanbbmuntukrakyat "
"347","Netral",0,"     kasihanilah dirimu sendiri wahai bani bansos  "
"348","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak"
"349","Netral",0," gak usah lah posting begini kasihan rakyat yang gak kebagian saya aja dari awal adanya bansos gak "
"350","Negatif",-2,"  program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat "
"351","Netral",0,"dah dari gacha ini udah dapet  b chiaki initial gk dapet b lain nunggu bansos free pull yg lain semoga dapet "
"352","Positif",1,"polsek rkt memberikan bantuan bansos kepada warga yang sakit    "
"353","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"354","Positif",1,"babinsa ceper dampingi pendistribusian blt subsidi bbm   klaten  kebijakan pemerintah mengalihkan anggaran subsidi "
"355","Netral",0,"hapiele lagi bagi bagi bansos"
"356","Positif",1," nah bener banget brotha wkwkwk akhir tahun emng harusnya panen bansos dari award"
"357","Positif",1,"login  cek daftar nama penerima bansos rp cair desember   "
"358","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"359","Positif",1,"bhabinkamtibmas bripka miki udayana beserta  babinsa serda wawan pengamanan penyaluran blt bantuan langsung tunai "
"360","Positif",1,"  begitu bahagianya dapat uang yg cuma bs buat beli nasi padang satu bungkus pantesan ngotot dasar penikmat bansos"
"361","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntung "
"362","Negatif",-1," ngakak lg bansos berupa skyspine apa ya"
"363","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"364","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"365","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"366","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"367","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"368","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"369","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"370","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"371","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"372","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"373","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"374","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"375","Netral",0," cok pdkt berharap dikasih sesuatu lha iku niat pdkt ta niat golek bansos"
"376","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"377","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"378","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"379","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"380","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"381","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"382","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"383","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"384","Negatif",-1,"bansos blt bbm rp  triliun bisa tekan angka kemiskinan   bltbbmbantumasyarakat bansosbbmringankanrakyat "
"385","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak pihak term"
"386","Netral",0,"  penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak "
"387","Netral",0,"program bansos bbm adanya pengalihan bbm guna lindungi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"388","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"389","Netral",0,"daftar  program bansos yang dikabarkan cair bulan desember   "
"390","Netral",0,"   yaelah penikmat bansos juga ente noh orangnya dah dikerangkeng ape lagi "
"391","Netral",0,"  ngentotngerokokmalingngebegalngerampoknyopetkorupsi dana bansos ngelakuin penambangan liar pembakara"
"392","Negatif",-1,"bansos bbm sangat mampu menjaga daya beli masyarakat "
"393","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"394","Netral",0,"ini ma kebalik kaya gw yang dapet bansos "
"395","Positif",1,"alhamdulillah masyarakat sudah terima bansos blt bltbbmbantumasyarakat bansosbbmringankanrakyat "
"396","Negatif",-1,"bansos bbm sangat mampu menjaga daya beli masyarakat "
"397","Negatif",-2,"bansos bencana di bangli tahap v  vi berproses  bansos berita nusabali bpbdbali"
"398","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"399","Negatif",-1,"bansos bbm dorong dan lindungi konsumsi  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"400","Positif",1,"  menang award kemaren juga belum ada tanda tanda bansos ya"
"401","Negatif",-2,"bhabinkamtibmas laks giat sambang ke rumah warga yang sakit dan kurang mampu untuk memberikan bansos berupa sembako "
"402","Netral",0,"gangarep kok cuman kyknya bansos  primo tuh bare minimum banget si "
"403","Positif",1,"alhamdulillah masyarakat sudah terima bansos blt bltbbmbantumasyarakat bansosbbmringankanrakyat "
"404","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak"
"405","Negatif",-2,"ajaibnya akun spt itu amanaman aja mirip pengurangan hukuman korupsi bansos ajaib "
"406","Negatif",-1,"bansos bbm dorong dan lindungi konsumsi  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"407","Negatif",-1,"siswa spn polda jatim salurkan bansos kepada warga kurang mampu "
"408","Netral",0,"  dibuka isine bansos"
"409","Netral",0," tehe yg pas lantern rite kmaren tuh kok kita dpet bansos primo yah itu yg gara jenshin menang awards kah thankss "
"410","Negatif",-2," kalo di tempatku yg dapet bansos dipotong k malem malem sama rtrw iya sama intruksi lurah"
"411","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"412","Negatif",-1,"pemdes cipacing salurkan bansos pkh bpnt dan blt bbm tiga hariberturutturut "
"413","Negatif",-2," program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat bantuanbbmuntukrakyat "
"414","Netral",0,"polsek rkt polres prabumulih memberikan bansos kepada warga yang sakit     "
"415","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"416","Netral",0,"bansos bbm sangat membantu warga bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran cerdaspakaibbm "
"417","Positif",1,"bansos dalam bentuk perlindungan sosial diberikan cukup masif bantuanbbmuntukrakyat bltbbmtepatsasaran "
"418","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"419","Negatif",-1,"bansos bbm dorong dan lindungi konsumsi  bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"420","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"421","Netral",0,"personel polres prabumulih memberikan bansos polres prabumulih polda sumsel   viral "
"422","Netral",0,"hebat pemerintah telah salurkan bansos kepada komunitas adat terpencil di seluruh indonesia bantuanbbmuntukrakyat "
"423","Netral",0,"penyaluran bansos tepat sasaran bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran cerdaspakaibbm "
"424","Netral",0," asek bansos"
"425","Netral",0,"program bansos bbm tepat untuk rakyat indonesia "
"426","Negatif",-1," pertahankan dik jangan lupa bansos"
"427","Netral",0,"polsek rkt polres prabumulih memberikan bansos kepada warga yang sakit     "
"428","Netral",0,"polsek rkt polres prabumulih memberikan bansos kepada warga yang sakit     "
"429","Positif",1,"kamis  desember   kanit binmas polsek tuhemberua bripka candra panjaitan  menyerahkan tali asih bansos dari "
"430","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"431","Positif",2,"pemaksaan belanja menjadi dilema bagi keluarga penerima manfaat kpm bantuan sosial bansos   kpm "
"432","Negatif",-2,"penjabat indonesia justeru rakus merampok dan memakan subsidi  bansos untuk rakyat  negara darurat  penjabat tidak "
"433","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"434","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"435","Netral",0,"cara cek nama penerima bansos rp online lewat hp  "
"436","Netral",0," hmmm kakean bansos ngene iki"
"437","Negatif",-2,"dukung bansos bbm terbukti dorong dan lindungi konsumsi masyarakat   bantuanbbmuntukrakyat bltbbmtepatsasaran "
"438","Negatif",-1,"program bansos bbm terbukti lindungi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"439","Positif",1,"kamis  desember   bhabinkamtibmas polsek tuhemberua brigpol malco hutagalung  menyerahkan tali asih bansos "
"440","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung pe"
"441","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung perak"
"442","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"443","Netral",0,"bansos amiin bansos "
"444","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"445","Positif",1,"program bansos bbm untuk subsidi tepat sasaran bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"446","Negatif",-2,"dips ada yang punya video lagi bansos gitu ga ya atau lagi jumat berkah"
"447","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"448","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"449","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"450","Negatif",-1,"program bansos blt lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"451","Positif",1,"kamis  desember   bhabinkamtibmas polsek tuhemberua brigpol malco hutagalung  menyerahkan tali asih bansos "
"452","Netral",0,"   tuh kebijakan dari pakde jokowi terkait bansosrupanya dah melebihi  t "
"453","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"454","Negatif",-2,"min cara daftar bansos gimana ya "
"455","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak"
"456","Netral",0," korupsi dana bansos"
"457","Netral",0,"siswa spn polda jatim salurkan bansos kepada warga kurangmampu "
"458","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"459","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"460","Negatif",-1,"     cieee cieee yg takut ga dapat bansos wkwkkkk"
"461","Negatif",-1,"berkat program bansos jokowi kegelisahan masyarakat imbas bbm naik terjawab sudah  keren bltbbmbantumasyarakat "
"462","Netral",0,"terimakasih presiden jokowi bansos blt tepat sasaran  bantuanbbmuntukrakyat bltbbmtepatsasaran "
"463","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung perak"
"464","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"465","Negatif",-1,"program penyaluran bansos kepada masyarakat sangat membantu bantuanbbmuntukrakyat bltbbmtepatsasaran "
"466","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung perak"
"467","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"468","Positif",1,"bansos bbm sangat bermanfaat bagi seluruh rakyat indonesia bantuanbbmuntukrakyat bltbbmtepatsasaran "
"469","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"470","Negatif",-2,"audit bpk sebut kerugian bansos covid tembus rp miliar polda sulsel singgung calon tersangka "
"471","Netral",0,"terimakasih pak presiden bansos bbm sangat membantu kami bantuanbbmuntukrakyat bltbbmtepatsasaran "
"472","Positif",1,"bansos bbm sangat bermanfaat bagi seluruh rakyat indonesia bantuanbbmuntukrakyat bltbbmtepatsasaran "
"473","Positif",1," bansos rp cair di kantor pos desember  login  cek penerima  h"
"474","Netral",0,"    penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntung"
"475","Netral",0," kantor pos cianjur rame ada pencairan bansospkhkks  gw masih kucel baru bangun tidur cuma cuci muka gosok gigi ga mand"
"476","Negatif",-1,"program penyaluran bansos kepada masyarakat sangat membantu bantuanbbmuntukrakyat bltbbmtepatsasaran "
"477","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih "
"478","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak"
"479","Netral",0,"banyak bansos mendukung bbm bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran cerdaspakaibbm "
"480","Negatif",-1,"program penyaluran bansos kepada masyarakat sangat membantu bantuanbbmuntukrakyat bltbbmtepatsasaran "
"481","Netral",0," kan wktu pandemik haruse pemda menyalurkan bansos tp malah disuruh jimpitan warga "
"482","Negatif",-1," kalau maling bansos tuk partai madam bansos gimana sin apa hukuman nya"
"483","Positif",2,"kapolsek momunu ipda sudarmono bersama bhabinkamtibmas polsek momunu melaksanakan pemberian bantuan beras bansos di "
"484","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"485","Negatif",-1,"bansos bbm dorong geliat ekonomi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"486","Negatif",-1,"program penyaluran bansos kepada masyarakat sangat membantu bantuanbbmuntukrakyat bltbbmtepatsasaran "
"487","Netral",0,"   penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan banyak"
"488","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"489","Netral",0,"  penyesuaian harga bbm dialihkan ke sektor produktif dan bansos yang lebih menguntungkan "
"490","Negatif",-2,"bansos dikenai pungli dimana hati nuraninya sejatinya dijadikan pengurus untuk apa mengurus dompet pribadi denga "
"491","Netral",0,"pemerintah telah salurkan bansos rp  m bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran "
"492","Negatif",-2,"mantap program bansos bbm terbukti dorong dan lindungi ko sumsi masyarakat bantuanbbmuntukrakyat "
"493","Positif",2,"kapolsek momunu ipda sudarmono bersama bhabinkamtibmas polsek momunu melaksanakan pemberian bantuan beras bansos di "
"494","Netral",0,"  yg loe inget cuma hambalang bong  bansos harun masiku inget gak bong "
"495","Negatif",-1,"program penyaluran bansos kepada masyarakat sangat membantu bantuanbbmuntukrakyat bltbbmtepatsasaran "
"496","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"497","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"498","Negatif",-1,"mantap program bansos bbm terbukti dorong dan lindungi konsumsi msyrkat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"499","Negatif",-1," kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjung pe"
"500","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"501","Netral",0,"bansos bbm sangat membantu warga bantuanbbmuntukrakyat bltbbmtepatsasaran subsiditepatsasaran cerdaspakaibbm "
"502","Negatif",-1,"kapolda jatim lakukan peninjauan pelaksanaan vaksinasi dan pemberian bansos di gerai vaksin polres pelabuhan tanjun "
"503","Negatif",-2,"program bansos bbm terbukti dorong dan lindungi konsumsi masyarakat bantuanbbmuntukrakyat bltbbmtepatsasaran "
"504","Negatif",-1," kurang bansos"
"505","Netral",0,"hingga akhir november  pemerintah telah salurkan bansos rp  miliar bantuanbbmuntukrakyat "
"506","Netral",0,"atasi pemalakan yonif raider bjw kawal distribusi bansos korban gempa ke sasaran "
"507","Negatif",-2,"giat bansos bhabinkamtibmas polsek batibati polres tanah laut bripka isonny sugara kepada masyarakat desa kaitkai "
"508","Positif",1," lu lihat di bong ngga kaya menteri mukidi bansos diembat"
"509","Netral",0,"menu bansos hari ini nasgor ganyu  "
"510","Negatif",-1,"program bansos bbm terbukti dorong dan lindungi konsumsi bantuanbbmuntukrakyat bltbbmtepatsasaran "
